gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score	go_group
Ccnh	-0.081585	0.761632	548.785985	FALSE	-0.157695	-0.68803	14	3	4	FALSE	NA	21	21	0	0.612568739230376	-0.4739264264963379	TRUE	TRUE	2	0	24.35253982308057	3.692554580222123	-0.092778596531445	27.952315806771246	Other
Nfib	-0.568485	0	9412.190052	TRUE	-0.171981	-1.116769	15	6	5	FALSE	NA	16	16	0	1.07260396941961	-0.5589828940009702	TRUE	TRUE	2	0	18.490524569803373	6.727134960368486	-0.03186619309575648	25.185793337076102	Cell Fate Commitment
Col15a1	1.817056	0	44.216867	TRUE	3.85691	4.045585	7	1	5	TRUE	Control	5	0	5	0.479875209847958	0.3846496748612338	TRUE	TRUE	3	1	5.594091012593551	2.817253832775837	15.679871303745092	25.09121614911448	Other
Kcnd2	-0.41309	0.24892	75150.29471	FALSE	-0.249376	-0.638637	9	1	5	FALSE	NA	18	18	0	0.593720340707453	-0.43849546054451594	TRUE	TRUE	2	0	20.835330671114253	3.5682228408218295	0.29812928946795025	24.701682801404033	Other
Ankrd37	0.177347	0.722512	31.106649	FALSE	-5.491494	-7.057749	7	0	7	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	22.649382717543322	23.033259315689335	Other
Igf2bp3	0.158671	0.488685	1130.412664	FALSE	-0.175437	-0.731635	7	0	7	FALSE	NA	13	13	0	1.25053334219114	-0.8516971239612657	TRUE	TRUE	2	0	14.973315417837059	7.900829817264838	-0.017130559169273175	22.85701467593262	Other
Cln8	-0.145609	0.552035	107.157646	FALSE	2.792182	3.376369	5	5	0	FALSE	NA	6	1	5	0.794676913275492	0.21885697166622417	TRUE	TRUE	2	0	6.76649406324899	4.893814518062685	11.140102195158098	22.800410776469775	Other
Gm28703	-4.178071	0	20.269202	TRUE	-0.064023	-2.777171	23	6	7	FALSE	NA	14	14	0	1.08587365750228	-0.5076436956837523	TRUE	TRUE	2	0	16.145718468492497	6.814667245862727	-0.4921756744138346	22.46821003994139	Other
Kcnma1	0.477031	0.004516	6091.765956	FALSE	0.207418	0.72615	11	7	2	FALSE	NA	14	2	12	0.915881479768368	0.4730537920396436	TRUE	TRUE	2	0	16.145718468492497	5.693329371114552	0.11922948382923965	21.95827732343629	Other
Rit2	-2.171989	0	1848.728267	TRUE	-0.782313	-2.38166	9	2	4	TRUE	Mutant	12	12	0	0.513502405322124	-0.4140519198382188	TRUE	TRUE	3	1	13.80091236718162	3.0390725564924423	2.5704569914003	20.41044191507436	Other
Tgfbr1	0.567855	0.007753	126.344675	TRUE	0.238017	0.745526	6	4	1	TRUE	Mutant	11	3	8	0.895790040121369	0.1248056840965	TRUE	TRUE	3	1	12.628509316526182	5.560798024468342	0.24969697877034525	19.43900431976487	Cell Fate Commitment
Spry2	-0.81884	0	144.716643	TRUE	-1.002492	-2.487185	5	1	4	TRUE	Control	10	9	1	0.551784655775839	-0.298969753032956	TRUE	TRUE	3	1	11.456106265870744	3.2915979252275855	3.509252460815564	19.256956651913892	Cell Fate Commitment
Fat3	1.273253	0	2476.533639	TRUE	0.951272	1.094372	4	1	2	TRUE	Mutant	7	1	6	1.00175099495454	0.21977147928039756	TRUE	TRUE	3	1	7.938897113904428	6.259759785431842	3.290861497356516	18.489518396692787	Other
Csmd1	1.022854	0	9476.166884	TRUE	-0.050666	0.230981	7	0	3	TRUE	Control	11	6	5	0.840195182073115	-0.07626230254285273	TRUE	TRUE	3	1	12.628509316526182	5.194071620925604	-0.5491270234751878	18.2734539139766	Other
Wwc1	1.00892	0	656.226297	TRUE	0.590751	0.998604	5	2	1	FALSE	NA	10	8	2	0.770657394987635	-0.30351115520429717	TRUE	TRUE	2	0	11.456106265870744	4.735371959420133	1.7536781990898305	17.94515642438071	Other
Gm14061	-1.402463	4e-6	31.768423	TRUE	-0.247368	-1.137126	13	4	4	FALSE	NA	10	10	0	0.959745981857733	-0.4543702728836105	TRUE	TRUE	2	0	11.456106265870744	5.982677552927761	0.2895676132745538	17.728351432073058	Other
Gm31409	-1.075936	0	107.573027	TRUE	-0.567851	-2.007362	19	5	1	FALSE	NA	8	8	0	1.08587365750228	-0.467014678478136	TRUE	TRUE	2	0	9.111300164559866	6.814667245862727	1.6560375691950193	17.58200497961761	Other
Ebf3	0.84326	0	170.934706	TRUE	-0.050767	0.06463	8	3	2	FALSE	NA	9	2	7	1.12192831598309	0.3493587405596668	TRUE	TRUE	2	0	10.283703215215304	7.05249850759835	-0.5486963813957391	16.787505341417916	Other
Cobl	-0.262099	0.353439	79.144385	FALSE	0.233095	0.319821	14	4	6	TRUE	Mutant	9	0	9	0.806071166067635	0.5702091677399028	TRUE	TRUE	3	1	10.283703215215304	4.968975665949646	0.22871063901740815	16.481389520182358	Other
Adam12	0.727643	0	294.370967	TRUE	0.425958	1.046864	8	3	1	TRUE	Mutant	8	1	7	0.824200362858701	0.3404089866205148	TRUE	TRUE	3	1	9.111300164559866	5.088563256811658	1.0510366129651332	16.25090003433666	Other
Gap43	-0.370897	0.024524	2258.063685	FALSE	0.367977	0.108373	9	3	3	FALSE	NA	10	6	4	0.652914420895264	0.011778091041379179	TRUE	TRUE	2	0	11.456106265870744	3.9586911844851	0.8038182128808088	16.218615663236655	Axon Guidance
Syt1	-2.493288	0	12572.08513	TRUE	-0.261382	-1.594783	9	0	2	TRUE	Control	9	7	2	0.700274583089885	-0.2224852011934709	TRUE	TRUE	3	1	10.283703215215304	4.271098168918072	0.3493202677438062	15.904121651877183	Other
Cttn	0.086766	0.541893	511.61111	FALSE	0.176142	0.063995	6	1	2	FALSE	NA	9	2	7	0.887982533764969	0.20441191217783755	TRUE	TRUE	2	0	10.283703215215304	5.509296521861133	-0.014124592179061821	15.778875144897375	Other
Mpdz	-1.003615	0	795.30667	TRUE	0.039026	-0.945199	13	1	6	TRUE	Control	10	10	0	0.569680714409841	-0.4313068096796197	FALSE	TRUE	2	1	11.456106265870744	3.4096476415294275	-0.5987574571859126	15.26699645021426	Other
Tmem161b	-0.241305	6.04e-4	1051.49201	FALSE	0.217566	-0.489702	16	5	4	FALSE	NA	10	10	0	0.587775891771127	-0.417718658547511	TRUE	TRUE	2	0	11.456106265870744	3.5290108263299467	0.1624983533564249	15.147615445557115	Other
Angpt1	-1.978162	0	457.752094	TRUE	-0.380397	-1.116814	7	1	4	FALSE	NA	8	8	0	0.824911416210738	-0.4751401089012885	TRUE	TRUE	2	0	9.111300164559866	5.093253655306663	0.856774397304108	15.061328217170637	Other
Nckap5	-0.087906	0.80643	596.473183	FALSE	-0.02831	0.164029	13	7	3	TRUE	Mutant	9	1	8	0.645780332513054	0.28353867654747567	FALSE	TRUE	2	1	10.283703215215304	3.91163182204023	-0.6444481554371263	14.550886881818407	Other
Trim36	0.218084	0.556414	36.795315	FALSE	-0.154761	-0.046886	12	4	4	FALSE	NA	8	0	8	0.818208172398066	0.42295817477458575	TRUE	TRUE	2	0	9.111300164559866	5.049036319714984	-0.1052885357502823	14.055047948524567	Other
